hour,schumann_amplitude,neural_coherence_baseline,cardiac_coherence_baseline,epithelial_coherence_baseline,mean_coherence_baseline,wavelength_peak_nm,grey_index_baseline,mean_coherence_night_shift,grey_index_night_shift,mean_coherence_jet_lag,grey_index_jet_lag,mean_coherence_recovery,grey_index_recovery
0.0,0.9919615242270664,0.6040497103790258,0.6081556365852976,0.6400113063866033,0.6174055511169756,588.8670007989444,0.3829996297079156,0.8848617303464184,0.1161107036333206,0.7064446123182826,0.2942036770015434,0.8848617303464184,0.1153813781485164
0.5,0.9693750353901464,0.5809363981245447,0.5647391968927453,0.6443555615422434,0.5966770521865111,592.598130606428,0.4049025719781202,0.8827437474444357,0.1210473505506796,0.7317637770193999,0.2707636216440104,0.8598711173700334,0.1410766571287454
1.0,0.9451471862576143,0.5890871220299816,0.6077649501818243,0.6461792206787166,0.6143437642968408,589.4181224265686,0.3885580490154106,0.8828557670299716,0.1241085849194317,0.7682847026341247,0.2363581986654775,0.8416342675242147,0.1601068204631362
1.5,0.920326741871203,0.6020005220808746,0.5974094804483134,0.6501058564975488,0.6165052863422457,589.0290484583958,0.3878232447382924,0.888360715955443,0.1220277586378484,0.7903857759056461,0.2165398738232148,0.828226507807217,0.1743706108411059
2.0,0.8960769515458673,0.5653169325055334,0.5978796301171878,0.636839771416606,0.6000121113464424,591.9978199576403,0.4057866678920399,0.8584413765790261,0.1554756935933313,0.7912696253413886,0.2180084214401830,0.785184771454167,0.2182944960889224
2.5,0.8736053133924944,0.5668571858137305,0.6323297152091516,0.6685357220636463,0.6225742076955095,587.9366426148083,0.3846598764309179,0.8790752280876287,0.1382865738157971,0.8214508471828595,0.1901236874194243,0.7916701020258671,0.2126703484499894
3.0,0.8540889008453117,0.6077176075781155,0.6516169894062337,0.6831457096694646,0.6474934355512713,583.4511816007712,0.3610484796410627,0.8648524875524212,0.1556481089091804,0.8266557954509705,0.1870112688567640,0.7793283647560413,0.2257967843593591
3.5,0.83860020976395,0.5990503787310266,0.6625595852043419,0.6880324427317569,0.6498808022223751,583.0214555999725,0.3597423643566960,0.8319312596228189,0.1911643401669519,0.8358324116466805,0.1795646548798333,0.7514713557553355,0.2543025441921072
4.0,0.8280384757729337,0.584725939600102,0.641901435184239,0.7157160003543773,0.6474477917129061,583.4593974916769,0.3629358757891715,0.8668059721324513,0.1581148298725351,0.8464157449033817,0.1701981230999426,0.7600700367401405,0.2461601637611061
4.5,0.8230710670577988,0.618047599619297,0.6688157524829758,0.7424178740698846,0.6764270753907192,578.2431264296705,0.334321020370602,0.847789247014446,0.1780061828127249,0.901095526705879,0.1161014265122350,0.7573728336708332,0.2490760237859596
